"","season","hour","plant.scale","top","a","b","R2","site_name"
"108","Spring (MAM)","Low Mixing Hours","scale_1x","Top 2%",0.642048899026773,-0.467253755732516,0.982660597993098,"Fairfield_Suisan"
"109","Summer (JJA)","All Hours","scale_1x","Top 2%",0.511846503531252,-0.134592181007258,0.773682453108472,"Fairfield_Suisan"
"110","Summer (JJA)","High Mixing Hours","scale_1x","Top 2%",0.391635678278552,0.499520226606835,0.623226624124543,"Fairfield_Suisan"
"111","Summer (JJA)","Low Mixing Hours","scale_1x","Top 2%",0.597127169125082,-0.550767126647679,0.875774402129455,"Fairfield_Suisan"
"112","Fall (SON)","All Hours","scale_1x","Top 2%",0.597721369577919,-0.208683132598575,0.984074682159867,"Fairfield_Suisan"
"113","Fall (SON)","High Mixing Hours","scale_1x","Top 2%",0.431007540826206,0.375162190855673,0.893504059101955,"Fairfield_Suisan"
"114","Fall (SON)","Low Mixing Hours","scale_1x","Top 2%",0.572105926271305,0.231730383872896,0.978638601431167,"Fairfield_Suisan"
"115","Winter (DJF)","All Hours","scale_1x","Top 2%",0.576743550265429,0.0812594442019877,0.990498055508492,"Fairfield_Suisan"
"116","Winter (DJF)","High Mixing Hours","scale_1x","Top 2%",0.537612394107198,-0.069121884061443,0.952627111405244,"Fairfield_Suisan"
"117","Winter (DJF)","Low Mixing Hours","scale_1x","Top 2%",0.568361473606117,0.502741866543964,0.984919248227164,"Fairfield_Suisan"
"118","All","All Hours","scale_1x","Top 2%",0.59938718810535,-0.289703644947009,0.977049818900036,"Fairfield_Suisan"
"119","All","High Mixing Hours","scale_1x","Top 2%",0.41806193979475,0.469478051865415,0.871784449054579,"Fairfield_Suisan"
"120","All","Low Mixing Hours","scale_1x","Top 2%",0.572806624713211,0.0813833160576445,0.987205198883854,"Fairfield_Suisan"
"121","Spring (MAM)","All Hours","scale_1x","Top 2%",0.560852029664756,0.0948960572382985,0.980411103100923,"Fresno-Clovis"
"122","Spring (MAM)","High Mixing Hours","scale_1x","Top 2%",0.428833428435861,0.419612518107768,0.893866687404727,"Fresno-Clovis"
"123","Spring (MAM)","Low Mixing Hours","scale_1x","Top 2%",0.538688486428899,0.512169738953349,0.973812926527702,"Fresno-Clovis"
"124","Summer (JJA)","All Hours","scale_1x","Top 2%",0.610450813939169,-0.307956501438505,0.976802410795775,"Fresno-Clovis"
"125","Summer (JJA)","High Mixing Hours","scale_1x","Top 2%",0.431402180608337,0.365739275460513,0.892697100866482,"Fresno-Clovis"
"126","Summer (JJA)","Low Mixing Hours","scale_1x","Top 2%",0.616184753406247,-0.216906809011189,0.976898672923822,"Fresno-Clovis"
"127","Fall (SON)","All Hours","scale_1x","Top 2%",0.555531208093528,0.553788281747764,0.978546757934103,"Fresno-Clovis"
"128","Fall (SON)","High Mixing Hours","scale_1x","Top 2%",0.488980154194092,0.188887000918816,0.967688069057075,"Fresno-Clovis"
"129","Fall (SON)","Low Mixing Hours","scale_1x","Top 2%",0.647074976586245,0.335633637503963,0.987456100660706,"Fresno-Clovis"
